YEAR,LOCATION,COMMODITY,AREA HARVESTED in ACRES,AREA PLANTED in ACRES,PRODUCTION in $,AREA LOST
2000,TEXAS,WHEAT,"2,200,000","6,000,000","166,320,000","3,800,000"
2001,TEXAS,WHEAT,"3,200,000","5,600,000","302,464,000","2,400,000"
2002,TEXAS,WHEAT,"2,700,000","6,400,000","236,466,000","3,700,000"
2003,TEXAS,WHEAT,"3,450,000","6,600,000","295,596,000","3,150,000"
2004,TEXAS,WHEAT,"3,500,000","6,300,000","362,390,000","2,800,000"
2005,TEXAS,WHEAT,"3,000,000","5,500,000","330,240,000","2,500,000"
2006,TEXAS,WHEAT,"1,400,000","5,550,000","150,192,000","4,150,000"
2007,TEXAS,WHEAT,"3,800,000","6,200,000","899,840,000","2,400,000"
2008,TEXAS,WHEAT,"3,300,000","5,800,000","750,420,000","2,500,000"
2009,TEXAS,WHEAT,"2,450,000","6,400,000","322,788,000","3,950,000"
2010,TEXAS,WHEAT,"3,750,000","5,700,000","649,688,000","1,950,000"
2011,TEXAS,WHEAT,"1,900,000","5,300,000","348,650,000","3,400,000"
2012,TEXAS,WHEAT,"2,900,000","5,600,000","643,104,000","2,700,000"
2013,TEXAS,WHEAT,"2,350,000","6,300,000","484,547,000","3,950,000"
2014,TEXAS,WHEAT,"2,250,000","6,000,000","432,000,000","3,750,000"
2015,TEXAS,WHEAT,"3,550,000","6,100,000","501,615,000","2,550,000"
2016,TEXAS,WHEAT,"2,800,000","5,000,000","317,184,000","2,200,000"
2017,TEXAS,WHEAT,"2,350,000","4,700,000","255,563,000","2,350,000"
2000,ALABAMA,WHEAT,"90,000","140,000","11,421,000","50,000"
2000,FLORIDA,WHEAT,"9,000","13,000","992,000","4,000"
2000,GEORGIA,WHEAT,"200,000","300,000","26,460,000","100,000"
2000,MISSISSIPPI,WHEAT,"235,000","250,000","32,830,000","15,000"
2000,NORTH CAROLINA,WHEAT,"500,000","670,000","58,750,000","170,000"
2000,SOUTH CAROLINA,WHEAT,"195,000","200,000","22,932,000","5,000"
2000,VIRGINIA,WHEAT,"205,000","240,000","25,830,000","35,000"
2001,ALABAMA,WHEAT,"70,000","170,000","8,568,000","100,000"
2001,FLORIDA,WHEAT,"9,000","15,000","830,000","6,000"
2001,GEORGIA,WHEAT,"200,000","300,000","21,730,000","100,000"
2001,MISSISSIPPI,WHEAT,"225,000","250,000","28,665,000","25,000"
2001,NORTH CAROLINA,WHEAT,"450,000","660,000","42,120,000","210,000"
2001,SOUTH CAROLINA,WHEAT,"210,000","220,000","20,769,000","10,000"
2001,VIRGINIA,WHEAT,"170,000","200,000","23,358,000","30,000"
2002,ALABAMA,WHEAT,"60,000","150,000","7,440,000","90,000"
2002,FLORIDA,WHEAT,"7,000","19,000","588,000","12,000"
2002,GEORGIA,WHEAT,"190,000","330,000","19,950,000","140,000"
2002,MISSISSIPPI,WHEAT,"180,000","230,000","19,440,000","50,000"
2002,NORTH CAROLINA,WHEAT,"430,000","600,000","49,665,000","170,000"
2002,SOUTH CAROLINA,WHEAT,"170,000","200,000","16,354,000","30,000"
2002,VIRGINIA,WHEAT,"170,000","230,000","29,243,000","60,000"
2003,ALABAMA,WHEAT,"75,000","150,000","9,840,000","75,000"
2003,FLORIDA,WHEAT,"12,000","20,000","1,476,000","8,000"
2003,GEORGIA,WHEAT,"230,000","380,000","32,269,000","150,000"
2003,MISSISSIPPI,WHEAT,"125,000","150,000","20,458,000","25,000"
2003,NORTH CAROLINA,WHEAT,"410,000","530,000","42,066,000","120,000"
2003,SOUTH CAROLINA,WHEAT,"185,000","200,000","21,645,000","15,000"
2003,VIRGINIA,WHEAT,"160,000","210,000","21,933,000","50,000"
2004,ALABAMA,WHEAT,"60,000","120,000","10,224,000","60,000"
2004,FLORIDA,WHEAT,"15,000","18,000","2,329,000","3,000"
2004,GEORGIA,WHEAT,"190,000","330,000","29,498,000","140,000"
2004,MISSISSIPPI,WHEAT,"135,000","160,000","24,112,000","25,000"
2004,NORTH CAROLINA,WHEAT,"460,000","600,000","71,300,000","140,000"
2004,SOUTH CAROLINA,WHEAT,"180,000","190,000","25,344,000","10,000"
2004,VIRGINIA,WHEAT,"180,000","210,000","29,205,000","30,000"
2005,ALABAMA,WHEAT,"45,000","100,000","6,975,000","55,000"
2005,FLORIDA,WHEAT,"8,000","18,000","1,116,000","10,000"
2005,GEORGIA,WHEAT,"140,000","280,000","22,204,000","140,000"
2005,MISSISSIPPI,WHEAT,"65,000","70,000","10,725,000","5,000"
2005,NORTH CAROLINA,WHEAT,"435,000","560,000","76,121,000","125,000"
2005,SOUTH CAROLINA,WHEAT,"165,000","170,000","23,562,000","5,000"
2005,VIRGINIA,WHEAT,"160,000","180,000","29,333,000","20,000"
2006,ALABAMA,WHEAT,"45,000","100,000","10,132,000","55,000"
2006,FLORIDA,WHEAT,"5,000","8,000","662,000","3,000"
2006,GEORGIA,WHEAT,"120,000","230,000","21,756,000","110,000"
2006,MISSISSIPPI,WHEAT,"73,000","85,000","15,161,000","12,000"
2006,NORTH CAROLINA,WHEAT,"420,000","560,000","80,783,000","140,000"
2006,SOUTH CAROLINA,WHEAT,"123,000","130,000","18,758,000","7,000"
2006,VIRGINIA,WHEAT,"155,000","190,000","34,150,000","35,000"
2007,ALABAMA,WHEAT,"76,000","120,000","16,918,000","44,000"
2007,FLORIDA,WHEAT,"9,000","13,000","1,980,000","4,000"
2007,GEORGIA,WHEAT,"230,000","360,000","59,800,000","130,000"
2007,MISSISSIPPI,WHEAT,"330,000","370,000","79,464,000","40,000"
2007,NORTH CAROLINA,WHEAT,"500,000","630,000","98,000,000","130,000"
2007,SOUTH CAROLINA,WHEAT,"135,000","160,000","18,428,000","25,000"
2007,VIRGINIA,WHEAT,"205,000","230,000","75,834,000","25,000"
2008,ALABAMA,WHEAT,"210,000","265,000","88,715,000","55,000"
2008,FLORIDA,WHEAT,"23,000","25,000","6,831,000","2,000"
2008,GEORGIA,WHEAT,"410,000","490,000","134,173,000","80,000"
2008,MISSISSIPPI,WHEAT,"500,000","520,000","166,160,000","20,000"
2008,NORTH CAROLINA,WHEAT,"740,000","850,000","258,408,000","110,000"
2008,SOUTH CAROLINA,WHEAT,"215,000","230,000","69,080,000","15,000"
2008,VIRGINIA,WHEAT,"290,000","320,000","121,069,000","30,000"
2009,FLORIDA,WHEAT,"14,000","17,000","2,649,000","3,000"
2009,GEORGIA,WHEAT,"245,000","335,000","44,247,000","90,000"
2009,LOUISIANA,WHEAT,"170,000","185,000","44,744,000","15,000"
2009,MISSISSIPPI,WHEAT,"150,000","165,000","33,750,000","15,000"
2009,NORTH CAROLINA,WHEAT,"575,000","660,000","126,224,000","85,000"
2009,SOUTH CAROLINA,WHEAT,"160,000","175,000","31,960,000","15,000"
2009,VIRGINIA,WHEAT,"220,000","260,000","51,933,000","40,000"
2010,FLORIDA,WHEAT,"7,000","12,000","1,435,000","5,000"
2010,GEORGIA,WHEAT,"102,000","150,000","20,400,000","48,000"
2010,LOUISIANA,WHEAT,"105,000","120,000","25,704,000","15,000"
2010,MISSISSIPPI,WHEAT,"90,000","115,000","19,881,000","25,000"
2010,NORTH CAROLINA,WHEAT,"330,000","430,000","60,317,000","100,000"
2010,SOUTH CAROLINA,WHEAT,"120,000","135,000","21,600,000","15,000"
2010,VIRGINIA,WHEAT,"150,000","180,000","39,780,000","30,000"
2011,FLORIDA,WHEAT,"8,000","12,000","2,429,000","4,000"
2011,GEORGIA,WHEAT,"200,000","250,000","84,896,000","50,000"
2011,LOUISIANA,WHEAT,"240,000","250,000","106,596,000","10,000"
2011,MISSISSIPPI,WHEAT,"310,000","335,000","142,848,000","25,000"
2011,NORTH CAROLINA,WHEAT,"590,000","670,000","291,672,000","80,000"
2011,SOUTH CAROLINA,WHEAT,"180,000","190,000","75,492,000","10,000"
2011,VIRGINIA,WHEAT,"240,000","270,000","109,567,000","30,000"
2012,FLORIDA,WHEAT,"15,000","20,000","3,969,000","5,000"
2012,GEORGIA,WHEAT,"230,000","290,000","83,950,000","60,000"
2012,LOUISIANA,WHEAT,"275,000","285,000","92,978,000","10,000"
2012,MISSISSIPPI,WHEAT,"320,000","345,000","124,944,000","25,000"
2012,NORTH CAROLINA,WHEAT,"740,000","810,000","285,980,000","70,000"
2012,SOUTH CAROLINA,WHEAT,"220,000","235,000","77,539,000","15,000"
2012,VIRGINIA,WHEAT,"240,000","280,000","113,510,000","40,000"
2013,ALABAMA,WHEAT,"285,000","310,000","134,705,000","25,000"
2013,FLORIDA,WHEAT,"19,000","25,000","6,446,000","6,000"
2013,GEORGIA,WHEAT,"360,000","430,000","140,400,000","70,000"
2013,LOUISIANA,WHEAT,"255,000","265,000","105,009,000","10,000"
2013,MISSISSIPPI,WHEAT,"385,000","400,000","154,524,000","15,000"
2013,NORTH CAROLINA,WHEAT,"925,000","990,000","331,113,000","65,000"
2013,SOUTH CAROLINA,WHEAT,"265,000","280,000","85,860,000","15,000"
2013,VIRGINIA,WHEAT,"290,000","335,000","124,242,000","45,000"
2014,ALABAMA,WHEAT,"225,000","255,000","92,374,000","30,000"
2014,GEORGIA,WHEAT,"230,000","300,000","60,295,000","70,000"
2014,NORTH CAROLINA,WHEAT,"770,000","830,000","230,446,000","60,000"
2014,SOUTH CAROLINA,WHEAT,"220,000","230,000","54,912,000","10,000"
2014,VIRGINIA,WHEAT,"260,000","290,000","101,483,000","30,000"
2015,ALABAMA,WHEAT,"220,000","260,000","77,044,000","40,000"
2015,GEORGIA,WHEAT,"145,000","215,000","28,681,000","70,000"
2015,NORTH CAROLINA,WHEAT,"570,000","650,000","148,029,000","80,000"
2015,SOUTH CAROLINA,WHEAT,"160,000","170,000","33,120,000","10,000"
2015,VIRGINIA,WHEAT,"210,000","260,000","75,537,000","50,000"
2016,GEORGIA,WHEAT,"110,000","180,000","20,493,000","70,000"
2016,LOUISIANA,WHEAT,"20,000","25,000","3,825,000","5,000"
2016,NORTH CAROLINA,WHEAT,"355,000","420,000","67,099,000","65,000"
2016,VIRGINIA,WHEAT,"175,000","210,000","44,056,000","35,000"
2017,ALABAMA,WHEAT,"100,000","150,000","35,420,000","50,000"
2017,GEORGIA,WHEAT,"70,000","160,000","13,489,000","90,000"
2017,LOUISIANA,WHEAT,"13,000","20,000","2,512,000","7,000"
2017,MISSISSIPPI,WHEAT,"25,000","45,000","6,018,000","20,000"
2017,NORTH CAROLINA,WHEAT,"375,000","450,000","95,906,000","75,000"
2017,SOUTH CAROLINA,WHEAT,"75,000","90,000","15,986,000","15,000"
2017,VIRGINIA,WHEAT,"145,000","210,000","44,979,000","65,000"
2017,FLORIDA,WHEAT,"14,000","20,000","2,072,000","6,000"
2015,FLORIDA,WHEAT,"15,000","25,000","2,677,000","10,000"
2000,LOUISIANA,WHEAT,"185,000","200,000","23,532,000","15,000"
2001,LOUISIANA,WHEAT,"160,000","175,000","22,000,000","15,000"
2002,LOUISIANA,WHEAT,"220,000","230,000","26,400,000","10,000"
2003,LOUISIANA,WHEAT,"140,000","155,000","18,942,000","15,000"
2004,LOUISIANA,WHEAT,"165,000","180,000","28,050,000","15,000"
2005,LOUISIANA,WHEAT,"100,000","110,000","15,360,000","10,000"
2006,LOUISIANA,WHEAT,"105,000","115,000","20,034,000","10,000"
2007,LOUISIANA,WHEAT,"220,000","235,000","61,776,000","15,000"
2008,LOUISIANA,WHEAT,"385,000","400,000","120,698,000","15,000"
2009,ALABAMA,WHEAT,"160,000","220,000","36,720,000","60,000"
2010,ALABAMA,WHEAT,"80,000","110,000","22,000,000","30,000"
2011,ALABAMA,WHEAT,"190,000","220,000","95,980,000","30,000"
2012,ALABAMA,WHEAT,"185,000","220,000","72,585,000","35,000"
2014,FLORIDA,WHEAT,"10,000","15,000","1,989,000","5,000"
2014,MISSISSIPPI,WHEAT,"215,000","230,000","71,703,000","15,000"
2015,MISSISSIPPI,WHEAT,"120,000","150,000","29,146,000","30,000"
2016,ALABAMA,WHEAT,"170,000","230,000","52,955,000","60,000"
2016,MISSISSIPPI,WHEAT,"50,000","65,000","10,728,000","15,000"
2016,FLORIDA,WHEAT,"17,000","25,000","1,989,000","8,000"
2014,LOUISIANA,WHEAT,"150,000","160,000","56,730,000","10,000"
2015,LOUISIANA,WHEAT,"92,000","110,000","16,146,000","18,000"
2016,SOUTH CAROLINA,WHEAT,"50,000","60,000","9,331,000","10,000"