YEAR,MONTH,STATE,CATEGORY,MAX WINDS (kt),STORM NAME
2004,September,ALABAMA,3,105,IVAN
2005,July,ALABAMA,1,44,DENNIS
2005,August,ALABAMA,1,73,KATRINA
2004,August,FLORIDA,4,130,CHARLEY
2004,September,FLORIDA,2,90,FRANCES
2004,September,FLORIDA,3,105,IVAN
2004,September,FLORIDA,3,105,JEANNE
2005,July,FLORIDA,3,105,DENNIS
2005,August,FLORIDA,1,81,KATRINA
2005,September,FLORIDA,1,76,RITA
2005,October,FLORIDA,3,105,WILMA
2016,September,FLORIDA,1,70,HERMINE
2016,October,FLORIDA,2,85,MATTHEW
2017,September,FLORIDA,4,115,IRMA
2016,October,GEORGIA,1,83,MATTHEW
2002,October,LOUISIANA,1,80,LILI
2005,July,LOUISIANA,1,65,CINDY
2005,August,LOUISIANA,3,110,KATRINA
2007,September,LOUISIANA,1,80,HUMBERTO
2008,September,LOUISIANA,1,67,IKE
2008,September,LOUISIANA,2,90,GUSTAV
2012,August,LOUISIANA,1,70,ISAAC
2017,October,LOUISIANA,1,65,NATE
2005,September,LOUISIANA,3,100,RITA
2005,August,MISSISSIPPI,3,110,KATRINA
2017,October,MISSISSIPPI,1,65,NATE
2003,September,NORTH CAROLINA,2,90,ISABEL
2004,August,NORTH CAROLINA,1,70,ALEX
2004,August,NORTH CAROLINA,1,64,CHARLEY
2005,September,NORTH CAROLINA,1,65,OPHELIA
2011,August,NORTH CAROLINA,1,75,IRENE
2014,July,NORTH CAROLINA,2,85,ARTHUR
2016,October,NORTH CAROLINA,1,76,MATTHEW
2004,August,SOUTH CAROLINA,1,50,CHARLEY
2004,August,SOUTH CAROLINA,1,65,GASTON
2016,October,SOUTH CAROLINA,1,84,MATTHEW
2003,July,TEXAS,1,80,CLAUDETTE
2005,September,TEXAS,2,91,RITA
2007,September,TEXAS,1,80,HUMBERTO
2008,July,TEXAS,1,75,DOLLY
2008,September,TEXAS,2,95,IKE
2017,August,TEXAS,4,115,HARVEY
2003,September,VIRGINIA,1,79,ISABEL