YEAR,MONTH,STATE,CATEGORY,MAX WINDS (kt) (GUSTS),NAME
2000,September,FL,TS,61,HELENE
2000,September,AL,TS,61,HELENE
2000,September,GA,TS,61,HELENE
2000,September,SC,TS,61,HELENE
2000,September,NC,TS,61,HELENE
2000,November,FL ,TS,60,LESLIE
2001,June,TX,TS,55,ALLISON
2001,June,LA,TS,55,ALLISON
2001,June,MS,TS,55,ALLISON
2001,June,AL,TS,55,ALLISON
2001,June,GA,TS,55,ALLISON
2001,June,SC,TS,55,ALLISON
2001,June,NC,TS,55,ALLISON
2001,August,FL,TS,69,BARRY
2001,August,AL,TS,69,BARRY
2001,August,MS,TS,69,BARRY
2002,August,TX,TS,35,BERTHA
2002,August,LA,TS,35,BERTHA
2002,August,MS,TS,35,BERTHA
2002,September,FL,TS,55,EDOUARD
2002,September,TX,TS,65,FAY
2002,September,AL,TS,59,HANNA
2002,September,GA,TS,59,HANNA
2002,September,FL,TS,59,HANNA
2002,October,LA,1,80,LILI
2003,July,TX,1,80,CLAUDETTE
2003,July,LA,TS,58,BILL
2003,July,MS,TS,58,BILL
2003,September,NC,2,90,ISABEL
2003,September,VA,1,79,ISABEL
2003,September,TX,TS,35,GRACE
2003,September,FL,TS,50,HENRI
2004,August,NC,1,70,ALEX
2004,August,FL,4,130,CHARLEY
2004,August,SC,1,50,CHARLEY
2004,August,NC,1,64,CHARLEY
2004,August,SC,1,65,GASTON
2004,August,FL,TS,66,BONNIE
2004,August,GA,TS,66,BONNIE
2004,August,SC,TS,66,BONNIE
2004,August,NC,TS,66,BONNIE
2004,September,FL,2,90,FRANCES
2004,September,AL,3,105,IVAN
2004,September,FL,3,105,IVAN
2004,September,FL,3,105,JEANNE
2004,October,LA,TS,48,MATTHEW
2004,October,MS,TS,48,MATTHEW
2005,June,AL,TS,52,ARLENE
2005,June,GA,TS,52,ARLENE
2005,July,LA,1,65,CINDY
2005,July,FL,3,105,DENNIS
2005,July,AL,1,44,DENNIS
2005,August,FL,1,81,KATRINA
2005,August,LA,3,110,KATRINA
2005,August,MS,3,110,KATRINA
2005,August,AL,1,73,KATRINA
2005,September,NC,1,65,OPHELIA
2005,September,FL,1,76,RITA
2005,September,LS,3,100,RITA
2005,September,TX,2,91,RITA
2005,October,FL,3,105,WILMA
2005,October,FL,TS,52,TAMMY
2005,October,GA,TS,52,TAMMY
2005,October,AL,TS,52,TAMMY
2005,October,SC,TS,52,TAMMY
2006,June,FL,TS,52,ALBERTO
2006,June,GA,TS,52,ALBERTO
2006,June,SC,TS,52,ALBERTO
2006,June,NC,TS,52,ALBERTO
2007,June,FL,TS,50,BARRY
2007,June,GA,TS,50,BARRY
2007,June,SC,TS,50,BARRY
2007,August,TX,TS,65,ERIN
2007,September,TX,1,80,HUMBERTO
2007,September,LA,1,80,HUMBERTO
2007,September,NC,TS,53,GABRIELLE
2008,July,TX,1,75,DOLLY
2008,August,TX,TS,62,EDOUARD
2008,August,FL,TS,69,FAY
2008,August,AL,TS,69,FAY
2008,August,MS,TS,69,FAY
2008,September,LA,2,90,GUSTAV
2008,September,TX,2,95,IKE
2008,September,LA,1,67,IKE
2009,August,FL,TS,57,CLAUDETTE
2009,August,AL,TS,57,CLAUDETTE
2010,July,FL,TS,50,BONNIE
2010,September,TX,TS,63,HERMINE
2011,July,TX,TS,45,DON
2011,August,NC,1,75,IRENE
2011,September,LA,TS,49,LEE
2012,May,FL,TS,63,BERYL
2012,May,GA,TS,63,BERYL
2012,May,NC,TS,63,BERYL
2012,May,SC,TS,63,BERYL
2012,June,FL,TS,49,DEBBY
2012,August,LA,1,70,ISAAC
2013,June,FL,TS,72,ANDREA
2013,June,GA,TS,72,ANDREA
2013,June,SC,TS,72,ANDREA
2013,June,NC,TS,72,ANDREA
2014,July,NC,2,85,ARTHUR
2015,May,SC,TS,52,ANA
2015,May,NC,TS,52,ANA
2015,May,VA,TS,52,ANA
2015,June,TX,TS,57,BILL
2016,May,SC,TS,35,BONNIE
2016,June,FL,TS,46,COLIN
2016,June,GA,TS,46,COLIN
2016,September,FL,TS,51,JULIA
2016,September,GA,TS,51,JULIA
2016,September,FL,1,70,HERMINE
2016,October,FL,2,85,MATTHEW
2016,October,GA,1,83,MATTHEW
2016,October,NC,1,76,MATTHEW
2016,October,SC,1,84,MATTHEW
2017,June,LA,TS,65,CINDY
2017,June,TX,TS,65,CINDY
2017,August,FL,TS,49,EMILY
2017,August,TX,4,115,HARVEY
2017,September,FL,4,115,IRMA
2017,October,LA,1,65,NATE
2017,October,MS,1,65,NATE