YEAR,MONTH,STATES AFFECTED W/CATEGORY,HIGHEST CATEGORY,MAX WINDS (kt),NAME
2002,October,LA,1,80,LILI
2003,July,TX,1,80,CLAUDETTE
2003,September,VA,1,79,ISABEL
2003,September,NC,2,90,ISABEL
2004,August,NC,1,70,ALEX
2004,August,SC,1,50,CHARLEY
2004,August,NC,1,64,CHARLEY
2004,August,SC,1,65,GASTON
2004,August,FL,4,130,CHARLEY
2004,September,FL,2,90,FRANCES
2004,September,AL,3,105,IVAN
2004,September,FL,3,105,IVAN
2004,September,FL,3,105,JEANNE
2005,July,LA,1,65,CINDY
2005,July,AL,1,44,DENNIS
2005,July,FL,3,105,DENNIS
2005,August,FL,1,81,KATRINA
2005,August,AL,1,73,KATRINA
2005,August,LA,3,110,KATRINA
2005,August,MS,3,110,KATRINA
2005,September,NC,1,65,OPHELIA
2005,September,FL,1,76,RITA
2005,September,TX,2,91,RITA
2005,September,LS,3,100,RITA
2005,October,FL,3,105,WILMA
2007,September,TX,1,80,HUMBERTO
2007,September,LA,1,80,HUMBERTO
2008,July,TX,1,75,DOLLY
2008,September,LA,1,67,IKE
2008,September,LA,2,90,GUSTAV
2008,September,TX,2,95,IKE
2011,August,NC,1,75,IRENE
2012,August,LA,1,70,ISAAC
2014,July,NC,2,85,ARTHUR
2016,September,FL,1,70,HERMINE
2016,October,GA,1,83,MATTHEW
2016,October,NC,1,76,MATTHEW
2016,October,SC,1,84,MATTHEW
2016,October,FL,2,85,MATTHEW
2017,August,TX,4,115,HARVEY
2017,September,FL,4,115,IRMA
2017,October,LA,1,65,NATE
2017,October,MS,1,65,NATE